	ERR11588428_R1_filtered.fastq.gz	ERR11588429_R1_filtered.fastq.gz	ERR11588430_R1_filtered.fastq.gz	ERR11588431_R1_filtered.fastq.gz	ERR11588432_R1_filtered.fastq.gz	ERR11588433_R1_filtered.fastq.gz	ERR11588434_R1_filtered.fastq.gz	ERR11588435_R1_filtered.fastq.gz	ERR11588436_R1_filtered.fastq.gz	ERR11588437_R1_filtered.fastq.gz
ASV_346	0	0	0	0	43	45	0	0	0	0
ASV_347	0	0	0	0	0	0	0	88	0	0
ASV_348	0	0	0	0	0	0	0	0	88	0
ASV_349	40	19	28	0	0	0	0	0	0	0
ASV_350	30	25	32	0	0	0	0	0	0	0
ASV_351	23	44	20	0	0	0	0	0	0	0
ASV_352	0	87	0	0	0	0	0	0	0	0
ASV_353	0	87	0	0	0	0	0	0	0	0
ASV_354	0	30	57	0	0	0	0	0	0	0
ASV_355	0	0	0	87	0	0	0	0	0	0
ASV_356	0	0	0	0	87	0	0	0	0	0
ASV_357	0	0	0	0	87	0	0	0	0	0
ASV_358	0	0	0	0	0	0	0	87	0	0
ASV_359	0	0	0	0	0	0	0	0	87	0
ASV_360	86	0	0	0	0	0	0	0	0	0
ASV_361	27	18	22	0	0	0	19	0	0	0
ASV_362	0	0	0	0	86	0	0	0	0	0
ASV_363	0	0	0	0	0	0	0	0	86	0
ASV_364	85	0	0	0	0	0	0	0	0	0
ASV_365	32	17	36	0	0	0	0	0	0	0
ASV_366	0	0	0	0	0	0	85	0	0	0
ASV_367	0	0	0	0	0	0	0	0	85	0
ASV_368	0	0	0	0	0	0	0	0	85	0
ASV_369	0	0	0	0	0	0	0	0	0	85
ASV_370	43	23	18	0	0	0	0	0	0	0
ASV_371	36	30	18	0	0	0	0	0	0	0
ASV_372	0	84	0	0	0	0	0	0	0	0
ASV_373	0	50	34	0	0	0	0	0	0	0
ASV_374	0	0	84	0	0	0	0	0	0	0
ASV_375	0	0	0	29	0	36	19	0	0	0
ASV_376	0	0	0	26	44	0	0	0	14	0
ASV_377	0	0	0	0	84	0	0	0	0	0
ASV_378	0	0	0	0	84	0	0	0	0	0
ASV_379	0	0	0	0	84	0	0	0	0	0
ASV_380	0	0	0	0	0	84	0	0	0	0
ASV_381	0	0	0	0	0	0	46	38	0	0
ASV_382	0	0	0	0	0	0	0	84	0	0
ASV_383	0	0	0	0	0	0	0	0	84	0
ASV_384	0	0	0	28	0	33	22	0	0	0
ASV_385	0	0	0	0	83	0	0	0	0	0
ASV_386	0	0	0	0	0	83	0	0	0	0
ASV_387	45	37	0	0	0	0	0	0	0	0
ASV_388	33	30	19	0	0	0	0	0	0	0
ASV_389	0	0	82	0	0	0	0	0	0	0
ASV_390	0	0	0	0	82	0	0	0	0	0
ASV_391	0	0	0	0	82	0	0	0	0	0
ASV_392	0	0	0	0	0	0	82	0	0	0
ASV_393	0	0	0	0	0	0	82	0	0	0
ASV_394	0	0	0	0	0	0	54	28	0	0
ASV_395	0	0	0	0	0	0	44	38	0	0
ASV_396	0	0	0	0	0	0	0	82	0	0
ASV_397	81	0	0	0	0	0	0	0	0	0
ASV_398	48	0	33	0	0	0	0	0	0	0
ASV_399	0	0	0	81	0	0	0	0	0	0
ASV_400	0	0	0	0	0	0	0	81	0	0
ASV_401	80	0	0	0	0	0	0	0	0	0
ASV_402	44	0	36	0	0	0	0	0	0	0
ASV_403	37	24	19	0	0	0	0	0	0	0
ASV_404	0	0	80	0	0	0	0	0	0	0
ASV_405	0	0	0	0	80	0	0	0	0	0
ASV_406	0	0	0	0	0	0	0	80	0	0
ASV_407	0	0	0	0	0	0	0	0	80	0
ASV_408	79	0	0	0	0	0	0	0	0	0
ASV_409	28	51	0	0	0	0	0	0	0	0
ASV_410	14	22	14	0	0	0	11	18	0	0
ASV_411	0	79	0	0	0	0	0	0	0	0
ASV_412	0	0	0	0	0	79	0	0	0	0
ASV_413	0	0	0	0	0	0	79	0	0	0
ASV_414	0	0	0	0	0	0	79	0	0	0
ASV_415	0	0	0	0	0	0	33	46	0	0
ASV_416	0	0	0	0	0	0	0	79	0	0
ASV_417	0	0	0	0	0	0	0	79	0	0
ASV_418	0	0	0	0	0	0	0	0	79	0
ASV_419	0	0	0	0	0	0	0	0	0	79
ASV_420	78	0	0	0	0	0	0	0	0	0
ASV_421	24	54	0	0	0	0	0	0	0	0
